Thu Nov 11 18:29:18 2021    output.dat

         200387563 function calls (200265234 primitive calls) in 140.265 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   518552    0.346    0.000    1.825    0.000 {method 'sum' of 'numpy.ndarray' objects}
    31309    0.345    0.000    0.499    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\inspect.py:2907(_bind)
    15944    0.331    0.000    0.331    0.000 {scipy.sparse._csparsetools.lil_flatten_to_array}
  1038350    0.288    0.000    2.310    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\numpy\core\_methods.py:38(_amax)
  1574470    0.281    0.000    0.281    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\scipy\sparse\data.py:23(_get_dtype)
  2137117    0.278    0.000    0.278    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\numpy\core\fromnumeric.py:3123(_ndim_dispatcher)
  1044536    0.275    0.000    0.275    0.000 {method 'rpartition' of 'str' objects}
  1037458    0.260    0.000    2.005    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\numpy\core\_methods.py:42(_amin)
  2091071    0.248    0.000    0.250    0.000 {built-in method builtins.hasattr}
  2168415    0.227    0.000    0.227    0.000 {built-in method _operator.index}
    12353    0.224    0.000    0.331    0.000 C:\Users\timot\EI_ST5\individual_vector.py:6(projector)
  2124538    0.204    0.000    0.204    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\scipy\sparse\csr.py:235(_swap)
   518552    0.161    0.000    1.479    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\numpy\core\_methods.py:46(_sum)
    31888    0.125    0.000    0.351    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\scipy\sparse\sputils.py:131(get_index_dtype)
16045/15835    0.123    0.000    0.471    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\artist.py:1038(update)
     7972    0.123    0.000    1.279    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\scipy\sparse\lil.py:449(tocsr)
    15944    0.109    0.000    0.445    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\scipy\sparse\compressed.py:136(check_format)
199557/169181    0.103    0.000    0.258    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\artist.py:241(stale)
     1282    0.098    0.000    0.098    0.000 {method 'set_text' of 'matplotlib.ft2font.FT2Font' objects}
    31888    0.097    0.000    0.144    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\scipy\sparse\sputils.py:277(check_shape)
    71748    0.097    0.000    0.097    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\numpy\core\getlimits.py:514(__init__)
     8561    0.091    0.000    0.091    0.000 {method 'cumsum' of 'numpy.ndarray' objects}
     7972    0.089    0.000    0.089    0.000 {scipy.sparse._csparsetools.lil_get_lengths}
15944/11958    0.086    0.000    1.023    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\scipy\sparse\compressed.py:27(__init__)
   211538    0.082    0.000    0.115    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\__init__.py:604(__getitem__)
    19930    0.079    0.000    0.171    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\scipy\sparse\compressed.py:1148(prune)
       21    0.075    0.004    0.075    0.004 {built-in method matplotlib.backends._tkagg.blit}
       25    0.069    0.003    0.253    0.010 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\font_manager.py:1311(_findfont_cached)
       25    0.069    0.003    1.340    0.054 {method 'mainloop' of '_tkinter.tkapp' objects}
31287/8562    0.065    0.000    3.582    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\_api\deprecation.py:404(wrapper)
     3986    0.065    0.000    0.065    0.000 {built-in method scipy.sparse._sparsetools.csr_plus_csr}
     3984    0.064    0.000    0.182    0.000 C:\Users\timot\EI_ST5\utils.py:82(J)
190540/190536    0.062    0.000    0.088    0.000 {built-in method builtins.getattr}
     3392    0.060    0.000    0.499    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\lines.py:276(__init__)
    28380    0.060    0.000    0.060    0.000 {built-in method numpy.zeros}
     3986    0.057    0.000    4.478    0.001 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\scipy\sparse\linalg\dsolve\linsolve.py:91(spsolve)
    26306    0.057    0.000    0.202    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\numpy\core\fromnumeric.py:69(_wrapreduction)
       13    0.056    0.004    0.139    0.011 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\pyparsing.py:5462(oneOf)
     9972    0.053    0.000    0.086    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\cbook\__init__.py:1726(normalize_kwargs)
    16474    0.052    0.000    0.059    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\transforms.py:207(set_children)
    18075    0.051    0.000    0.057    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\font_manager.py:1188(score_stretch)
    27902    0.051    0.000    0.279    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\scipy\sparse\sputils.py:220(isshape)
     3986    0.050    0.000    0.074    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\scipy\sparse\sputils.py:64(upcast_scalar)
     7782    0.049    0.000    0.080    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\artist.py:99(__init__)
   528431    0.049    0.000    0.049    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\inspect.py:2558(kind)
    12117    0.046    0.000    0.102    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\pyplot.py:822(_auto_draw_if_interactive)
     3986    0.045    0.000    0.967    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\scipy\sparse\compressed.py:1218(_binopt)
   248087    0.043    0.000    0.123    0.000 {built-in method builtins.next}
    71772    0.043    0.000    0.118    0.000 <__array_function__ internals>:2(can_cast)
    34830    0.042    0.000    0.059    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\cbook\__init__.py:2094(_setattr_cm)
    91678    0.042    0.000    0.042    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\scipy\sparse\compressed.py:108(getnnz)
     1080    0.040    0.000    0.949    0.001 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\axis.py:57(__init__)
    91678    0.038    0.000    0.080    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\scipy\sparse\base.py:238(nnz)
      100    0.038    0.000    0.038    0.000 {built-in method matplotlib._path.path_intersects_rectangle}
42755/42575    0.036    0.000    0.093    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\cbook\__init__.py:259(process)
        9    0.036    0.004    0.036    0.004 {method 'tobytes' of 'numpy.ndarray' objects}
     6408    0.034    0.000    0.149    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\font_manager.py:638(__init__)
    28259    0.033    0.000    0.039    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\contextlib.py:86(__init__)
   211608    0.033    0.000    0.033    0.000 {function RcParams.__getitem__ at 0x000002677F883310}
    15944    0.032    0.000    0.032    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\scipy\sparse\sputils.py:95(getdtype)
     7972    0.032    0.000    5.115    0.001 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\scipy\sparse\lil.py:359(copy)
    59686    0.032    0.000    0.033    0.000 {built-in method _abc._abc_instancecheck}
     2245    0.031    0.000    0.031    0.000 {method 'uniform' of 'numpy.random.mtrand.RandomState' objects}
    24039    0.029    0.000    0.071    0.000 <__array_function__ internals>:2(shape)
    95664    0.029    0.000    0.036    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\scipy\sparse\sputils.py:290(<genexpr>)
   214874    0.028    0.000    0.028    0.000 {method 'items' of 'dict' objects}
    31888    0.028    0.000    0.028    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\scipy\sparse\base.py:66(__init__)
    25193    0.028    0.000    0.028    0.000 {method 'copy' of 'numpy.ndarray' objects}
   177813    0.027    0.000    0.048    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\pyparsing.py:5504(<lambda>)
     1705    0.027    0.000    0.123    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\lines.py:660(recache)
      316    0.027    0.000    0.031    0.000 {method 'draw_path' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
