Fri Nov 12 03:55:00 2021    output.dat

         21131116 function calls (21073151 primitive calls) in 14.283 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    47840    0.005    0.000    0.005    0.000 {method 'lower' of 'str' objects}
    47606    0.013    0.000    0.126    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\numpy\core\_methods.py:46(_sum)
    47606    0.030    0.000    0.156    0.000 {method 'sum' of 'numpy.ndarray' objects}
    47450    0.097    0.000    0.526    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\scipy\sparse\compressed.py:643(_get_intXint)
    47450    0.049    0.000    1.374    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\scipy\sparse\compressed.py:798(_set_intXint)
    47450    0.111    0.000    0.736    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\scipy\sparse\compressed.py:861(_prepare_indices)
    47450    0.416    0.000    1.321    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\scipy\sparse\compressed.py:880(_set_many)
    47450    0.063    0.000    1.355    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\scipy\sparse\_index.py:32(__getitem__)
    47450    0.118    0.000    2.215    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\scipy\sparse\_index.py:75(__setitem__)
    47450    0.252    0.000    0.252    0.000 {built-in method scipy.sparse._sparsetools.get_csr_submatrix}
    47450    0.089    0.000    0.089    0.000 {built-in method scipy.sparse._sparsetools.csr_sample_offsets}
    45219    0.004    0.000    0.004    0.000 {built-in method builtins.abs}
    42601    0.009    0.000    0.021    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\abc.py:117(__instancecheck__)
    42601    0.012    0.000    0.012    0.000 {built-in method _abc._abc_instancecheck}
    39228    0.004    0.000    0.004    0.000 {method 'append' of 'list' objects}
    33012    0.005    0.000    0.005    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\_api\deprecation.py:419(<genexpr>)
    28526    0.003    0.000    0.003    0.000 {built-in method builtins.id}
    24478    0.003    0.000    0.003    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\artist.py:217(axes)
    21100    0.002    0.000    0.002    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\font_manager.py:714(get_family)
    21100    0.002    0.000    0.002    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\font_manager.py:726(get_style)
    21100    0.002    0.000    0.002    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\font_manager.py:733(get_variant)
    21100    0.002    0.000    0.002    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\font_manager.py:739(get_weight)
    21100    0.002    0.000    0.002    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\font_manager.py:748(get_stretch)
    21060    0.005    0.000    0.007    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\cbook\__init__.py:1879(_str_equal)
    19882    0.003    0.000    0.003    0.000 {method 'endswith' of 'str' objects}
    18870    0.004    0.000    0.004    0.000 {built-in method cmath.exp}
    18181    0.005    0.000    0.008    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\logging\__init__.py:1424(debug)
    18181    0.003    0.000    0.003    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\logging\__init__.py:1689(isEnabledFor)
    18075    0.002    0.000    0.002    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\font_manager.py:756(get_size)
    18075    0.022    0.000    0.031    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\font_manager.py:1130(score_family)
    18075    0.002    0.000    0.002    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\font_manager.py:1160(score_style)
    18075    0.002    0.000    0.002    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\font_manager.py:1177(score_variant)
    18075    0.046    0.000    0.051    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\font_manager.py:1188(score_stretch)
    18075    0.016    0.000    0.046    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\font_manager.py:1206(score_weight)
    18075    0.002    0.000    0.002    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\font_manager.py:1224(score_size)
    15866    0.003    0.000    0.004    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\pyparsing.py:2599(__hash__)
    14948    0.007    0.000    0.009    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\_api\__init__.py:100(check_in_list)
    14036    0.008    0.000    0.015    0.000 {built-in method builtins.any}
12819/12579    0.011    0.000    0.064    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\cbook\__init__.py:259(process)
    12680    0.005    0.000    0.005    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\transforms.py:107(__init__)
    12613    0.006    0.000    0.019    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\artist.py:356(pchanged)
    11928    0.013    0.000    0.020    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\cbook\__init__.py:2094(_setattr_cm)
    11741    0.001    0.000    0.001    0.000 {built-in method builtins.callable}
    11464    0.002    0.000    0.003    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\sre_parse.py:164(__getitem__)
    11112    0.002    0.000    0.002    0.000 {method 'update' of 'dict' objects}
    11047    0.002    0.000    0.002    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\inspect.py:2863(parameters)
    11012    0.002    0.000    0.002    0.000 {method 'values' of 'mappingproxy' objects}
    11008    0.002    0.000    0.002    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\inspect.py:2638(__init__)
    11008    0.110    0.000    0.157    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\inspect.py:2907(_bind)
    11008    0.005    0.000    0.162    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\inspect.py:3038(bind)
11004/2801    0.020    0.000    1.623    0.001 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\_api\deprecation.py:404(wrapper)
     8760    0.003    0.000    0.003    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\scipy\sparse\sputils.py:290(<genexpr>)
     8395    0.003    0.000    0.007    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\scipy\sparse\base.py:238(nnz)
     8395    0.003    0.000    0.003    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\scipy\sparse\compressed.py:108(getnnz)
     8220    0.002    0.000    0.007    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\pyparsing.py:1777(get)
  8220/31    0.051    0.000    0.137    0.004 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\pyparsing.py:1835(_parseCache)
     8029    0.008    0.000    0.010    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\contextlib.py:86(__init__)
     8029    0.004    0.000    0.026    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\contextlib.py:114(__enter__)
     8029    0.005    0.000    0.015    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\contextlib.py:123(__exit__)
     8029    0.004    0.000    0.014    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\contextlib.py:261(helper)
     7986    0.008    0.000    0.008    0.000 {method 'copy' of 'numpy.ndarray' objects}
     7905    0.001    0.000    0.001    0.000 {built-in method math.sqrt}
     7666    0.008    0.000    0.012    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\transforms.py:1750(__init__)
  7646/31    0.013    0.000    0.137    0.004 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\pyparsing.py:1647(_parseNoCache)
     7646    0.007    0.000    0.011    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\pyparsing.py:1780(set)
     6907    0.002    0.000    0.002    0.000 {built-in method builtins.setattr}
     6807    0.003    0.000    0.003    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\pyparsing.py:304(__init__)
6621/4367    0.002    0.000    0.009    0.000 {built-in method builtins.hash}
     6594    0.001    0.000    0.001    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\numpy\core\multiarray.py:498(can_cast)
     6594    0.003    0.000    0.010    0.000 <__array_function__ internals>:2(can_cast)
     6594    0.002    0.000    0.005    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\font_manager.py:1304(<genexpr>)
     6570    0.008    0.000    0.008    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\numpy\core\getlimits.py:514(__init__)
     6485    0.005    0.000    0.005    0.000 {method 'match' of 're.Pattern' objects}
     6468    0.005    0.000    0.030    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\artist.py:82(_stale_axes_callback)
     6324    0.004    0.000    0.007    0.000 C:\Users\timot\EI_ST5\alpha.py:31(f)
     6319    0.002    0.000    0.002    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\sre_parse.py:233(__next)
     6062    0.003    0.000    0.005    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\enum.py:358(__call__)
     6062    0.002    0.000    0.002    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\enum.py:670(__new__)
     5979    0.004    0.000    0.016    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\colors.py:132(_is_nth_color)
     5972    0.004    0.000    0.031    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\re.py:289(_compile)
     5941    0.004    0.000    0.012    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\re.py:188(match)
     5894    0.002    0.000    0.002    0.000 {built-in method __new__ of type object at 0x00007FFC8080CC60}
     5844    0.003    0.000    0.003    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\numpy\core\fromnumeric.py:70(<dictcomp>)
     5844    0.010    0.000    0.036    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\numpy\core\fromnumeric.py:69(_wrapreduction)
     5525    0.001    0.000    0.003    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\sre_parse.py:254(get)
5296/5056    0.044    0.000    0.158    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\artist.py:1038(update)
     5296    0.001    0.000    0.001    0.000 {built-in method builtins.delattr}
     5219    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
     5192    0.001    0.000    0.001    0.000 {method 'popitem' of 'collections.OrderedDict' objects}
     4954    0.001    0.000    0.002    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\sre_parse.py:172(append)
     4810    0.002    0.000    0.003    0.000 {built-in method builtins.max}
