Fri Nov 12 04:02:17 2021    output.dat

         193316222 function calls (193192901 primitive calls) in 125.045 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   500036    0.308    0.000    1.622    0.000 {method 'sum' of 'numpy.ndarray' objects}
    30526    0.300    0.000    0.432    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\inspect.py:2907(_bind)
    15376    0.282    0.000    0.282    0.000 {scipy.sparse._csparsetools.lil_flatten_to_array}
  1007322    0.276    0.000    0.276    0.000 {method 'rpartition' of 'str' objects}
    17503    0.274    0.000    0.401    0.000 C:\Users\timot\EI_ST5\individual_vector.py:9(projector)
  1518380    0.251    0.000    0.251    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\scipy\sparse\data.py:23(_get_dtype)
  1001190    0.239    0.000    2.074    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\numpy\core\_methods.py:38(_amax)
  2016077    0.228    0.000    0.230    0.000 {built-in method builtins.hasattr}
  2060937    0.225    0.000    0.225    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\numpy\core\fromnumeric.py:3123(_ndim_dispatcher)
  1000470    0.216    0.000    1.822    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\numpy\core\_methods.py:42(_amin)
  2091171    0.206    0.000    0.206    0.000 {built-in method _operator.index}
  2048852    0.184    0.000    0.184    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\scipy\sparse\csr.py:235(_swap)
   500036    0.138    0.000    1.314    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\numpy\core\_methods.py:46(_sum)
     7688    0.109    0.000    1.117    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\scipy\sparse\lil.py:449(tocsr)
    30752    0.108    0.000    0.300    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\scipy\sparse\sputils.py:131(get_index_dtype)
15501/15261    0.101    0.000    0.399    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\artist.py:1038(update)
       25    0.096    0.004    0.991    0.040 {method 'mainloop' of '_tkinter.tkapp' objects}
